bodyId_pre,bodyId_post,pre_name,post_name,type_pre_col,type_post_col,type_pre,type_post,roi_pre,roi_post,count
1292458366,1261756007,ER3dd_L_1292458366,ER3da_R_1261756007,ER3dd_L,ER3da_R,ER3d,ER3d,EB,EB,1
1292458366,1261436508,ER3dd_L_1292458366,ER3da_R_1261436508,ER3dd_L,ER3da_R,ER3d,ER3d,EB,EB,1
1292458366,1261436305,ER3dd_L_1292458366,ER3dc_R_1261436305,ER3dd_L,ER3dc_R,ER3d,ER3d,EB,EB,1
1292458366,1261091124,ER3dd_L_1292458366,ER3da_L_1261091124,ER3dd_L,ER3da_L,ER3d,ER3d,EB,EB,1
1292794996,1261764527,ER3m_R_1292794996,ER3aa_L_1261764527,ER3m_R,ER3aa_L,ER3m,ER3a,EB,EB,1
1292794996,1262105601,ER3m_R_1292794996,ER3aa_L_1262105601,ER3m_R,ER3aa_L,ER3m,ER3a,EB,EB,1
1292794996,1262114112,ER3m_R_1292794996,ER3aa_R_1262114112,ER3m_R,ER3aa_R,ER3m,ER3a,EB,EB,1
1292799162,1230738163,ER3m_L_1292799162,ER3ac_L_1230738163,ER3m_L,ER3ac_L,ER3m,ER3a,EB,EB,1
1292799346,1169260589,ER3m_L_1292799346,ER3ac_R_1169260589,ER3m_L,ER3ac_R,ER3m,ER3a,EB,EB,1
1292799162,5813080269,ER3m_L_1292799162,ER3aa_L_5813080269,ER3m_L,ER3aa_L,ER3m,ER3a,EB,EB,1
1292799162,5813020568,ER3m_L_1292799162,ER3pa_R_5813020568,ER3m_L,ER3pa_R,ER3m,ER3p,EB,EB,1
1292799162,5813020455,ER3m_L_1292799162,ER3wb_R_5813020455,ER3m_L,ER3wb_R,ER3m,ER3w,EB,EB,1
1292799162,5812984024,ER3m_L_1292799162,ER3aa_R_5812984024,ER3m_L,ER3aa_R,ER3m,ER3a,EB,EB,1
1292799162,5812983887,ER3m_L_1292799162,ER3da_L_5812983887,ER3m_L,ER3da_L,ER3m,ER3d,EB,EB,1
1292799162,1355810793,ER3m_L_1292799162,ER3aa_R_1355810793,ER3m_L,ER3aa_R,ER3m,ER3a,EB,EB,1
1292799162,1322470368,ER3m_L_1292799162,ER1a_R_1322470368,ER3m_L,ER1a_R,ER3m,ER1,EB,EB,1
1292799162,1261768832,ER3m_L_1292799162,ER3ac_L_1261768832,ER3m_L,ER3ac_L,ER3m,ER3a,EB,EB,1
1292799162,1261423507,ER3m_L_1292799162,ER3dc_R_1261423507,ER3m_L,ER3dc_R,ER3m,ER3d,EB,EB,1
1292799162,1199086313,ER3m_L_1292799162,ER3pa_L_1199086313,ER3m_L,ER3pa_L,ER3m,ER3p,EB,EB,1
1292794996,1291366237,ER3m_R_1292794996,ER3pb_R_1291366237,ER3m_R,ER3pb_R,ER3m,ER3p,EB,EB,1
1292799162,1169260589,ER3m_L_1292799162,ER3ac_R_1169260589,ER3m_L,ER3ac_R,ER3m,ER3a,EB,EB,1
1292799162,1126647624,ER3m_L_1292799162,EPG_R8_1126647624,ER3m_L,EPG_R8,ER3m,EPG,EB,EB,1
1292799162,1125964814,ER3m_L_1292799162,EPG_R8_1125964814,ER3m_L,EPG_R8,ER3m,EPG,EB,EB,1
1292799162,912545106,ER3m_L_1292799162,EPG_L2_912545106,ER3m_L,EPG_L2,ER3m,EPG,EB,EB,1
1292794996,5813080269,ER3m_R_1292794996,ER3aa_L_5813080269,ER3m_R,ER3aa_L,ER3m,ER3a,EB,EB,1
1292794996,5813020568,ER3m_R_1292794996,ER3pa_R_5813020568,ER3m_R,ER3pa_R,ER3m,ER3p,EB,EB,1
1292794996,1322811240,ER3m_R_1292794996,ER3pa_R_1322811240,ER3m_R,ER3pa_R,ER3m,ER3p,EB,EB,1
1292794996,1322811160,ER3m_R_1292794996,ER3pb_L_1322811160,ER3m_R,ER3pb_L,ER3m,ER3p,EB,EB,1
1292794996,1322470594,ER3m_R_1292794996,ER3pa_L_1322470594,ER3m_R,ER3pa_L,ER3m,ER3p,EB,EB,1
1292794996,1292121433,ER3m_R_1292794996,ER3dd_R_1292121433,ER3m_R,ER3dd_R,ER3m,ER3d,EB,EB,1
1292458366,1261086823,ER3dd_L_1292458366,ER3dc_L_1261086823,ER3dd_L,ER3dc_L,ER3d,ER3d,EB,EB,1
1292458366,1261086755,ER3dd_L_1292458366,ER3da_L_1261086755,ER3dd_L,ER3da_L,ER3d,ER3d,EB,EB,1
1292458366,1198684596,ER3dd_L_1292458366,ER2a_L_1198684596,ER3dd_L,ER2a_L,ER3d,ER2,EB,EB,1
1292113218,1291780631,ER3da_L_1292113218,ER3m_L_1291780631,ER3da_L,ER3m_L,ER3d,ER3m,EB,EB,1
1292121433,1261768880,ER3dd_R_1292121433,ER3db_R_1261768880,ER3dd_R,ER3db_R,ER3d,ER3d,EB,EB,1
1292121433,1261768859,ER3dd_R_1292121433,ER3db_R_1261768859,ER3dd_R,ER3db_R,ER3d,ER3d,EB,EB,1
1292121433,1261756007,ER3dd_R_1292121433,ER3da_R_1261756007,ER3dd_R,ER3da_R,ER3d,ER3d,EB,EB,1
1292121433,1261436508,ER3dd_R_1292121433,ER3da_R_1261436508,ER3dd_R,ER3da_R,ER3d,ER3d,EB,EB,1
1292121433,1261423444,ER3dd_R_1292121433,ER3dc_R_1261423444,ER3dd_R,ER3dc_R,ER3d,ER3d,EB,EB,1
1292121433,1261086755,ER3dd_R_1292121433,ER3da_L_1261086755,ER3dd_R,ER3da_L,ER3d,ER3d,EB,EB,1
1292121433,1261086734,ER3dd_R_1292121433,ER3da_R_1261086734,ER3dd_R,ER3da_R,ER3d,ER3d,EB,EB,1
1292113218,5812979686,ER3da_L_1292113218,ER3db_L_5812979686,ER3da_L,ER3db_L,ER3d,ER3d,EB,EB,1
1292113218,1292816565,ER3da_L_1292113218,ER3m_R_1292816565,ER3da_L,ER3m_R,ER3d,ER3m,EB,EB,1
1292113218,1292445517,ER3da_L_1292113218,ER3db_L_1292445517,ER3da_L,ER3db_L,ER3d,ER3d,EB,EB,1
1292113218,1261768913,ER3da_L_1292113218,ER3m_R_1261768913,ER3da_L,ER3m_R,ER3d,ER3m,EB,EB,1
1292121433,5812979686,ER3dd_R_1292121433,ER3db_L_5812979686,ER3dd_R,ER3db_L,ER3d,ER3d,EB,EB,1
1292113218,1261768859,ER3da_L_1292113218,ER3db_R_1261768859,ER3da_L,ER3db_R,ER3d,ER3d,EB,EB,1
