iff,Catmaid name,% reviewed,Export date,Backbone coordinate,Latest segment IDs,Cell type proposal,Proofreader,Latest update,Ongoing,To split,Completed,Comments,Num. of segs,CATMAID skid,Supervoxel ID,Root ID,Root ID updated
Delta7,Delta7_L4R5_FS,0,21/03/2025,"15180, 30440, 1353","576460752487783670,576460752489384182,576460752530593328,576460752474753369,576460752494718717,576460752456039955,576460752495144229,576460752538447917,576460752538447661,576460752436209237,576460752490140459,576460752425733916,576460752444656443,576460752538448173,576460752436208981,576460752475696591",,Griffin,11/08/2025,TRUE,TRUE,FALSE," CATMAID extension needed? /// Griffin : realllyyy odd structured D7, probably still needs some catmaid. completed everything that is is found.
The part that overlaps with PFNs is done I think? -SE",15,172334,103741395981860548,576460752538448173,2025-12-19
Delta7,Delta7_L5R4_FS,0,21/03/2025,"20187, 28248, 2003","576460752406072366,576460752511011553,576460752521255556",,Griffin,11/08/2025,FALSE,TRUE,TRUE,"Mostly cleaned, one section of main stem needs to be cut",2,,114931675573613973,576460752521255556,2025-12-19
Delta7,Delta7_L5R4_FS,0,21/03/2025,"22229, 27773, 1843",576460752488920265,,Griffin,11/08/2025,FALSE,FALSE,TRUE,,0,,119417408136966588,576460752488748833,2025-12-19
Delta7,Delta7_L5R4_FS,0,21/03/2025,"20960, 27821, 1759","576460752343589536,576460752436064031,576460752323227109,576460752335730140,576460752392172112,576460752423227761,576460752402493996,576460752405290542,576460752356860439,576460752339766473,576460752462847509,576460752423131336,576460752436893857,576460752346900395,576460752380767312,576460752408322596,576460752482219176,576460752487023350,576460752492732095,576460752413869048,576460752498194664,576460752489611899,576460752418548315,576460752361739277,576460752341133414,576460752428421067,576460752357888680,576460752342104946,576460752475818787,576460752316865639,576460752429351381,576460752345034572,576460752352931841,576460752379009329,576460752385911120,576460752331911554,576460752384269935,576460752433749089,576460752492725183,576460752315547198,576460752430150923,576460752304665747,576460752360512535,576460752450408521,576460752527906030,576460752395222778,576460752431322673,576460752343858945,576460752442335167,576460752378014545,576460752404757239,576460752468268954,576460752340081408,576460752422793621,576460752439042313,576460752464511600,576460752373400490,576460752314555400,576460752320255444,576460752409503029,576460752431317809,576460752377865663,576460752314814984,576460752351016750,576460752397223825,576460752524327472,576460752467186004,576460752482955209,576460752377823057,576460752453255571,576460752472691832,576460752328864102,576460752453113551,576460752413120663,576460752532978580,576460752336102374,576460752323958110,576460752343040509,576460752321091284,576460752422794133,576460752442439560,576460752492466367,576460752405319470,576460752428974256,576460752384382636,576460752473123715,576460752342866855,576460752405706231,576460752492151896,576460752408543853,576460752387546162,576460752537482797,576460752323773601,576460752487291894,576460752385721246,576460752418407515,576460752368673215,576460752416700141,576460752362815408,576460752412503109,576460752516946867,576460752351039156,576460752436935084,576460752414000508,576460752305459763,576460752348522137,576460752404190485,576460752419829161,576460752392769786,576460752316651254,576460752475371034,576460752527606254,576460752366385789,576460752484588558,576460752436842657,576460752463810208,576460752368657351,576460752342969015,576460752357581067,576460752329735964,576460752388193450,576460752416930797,576460752469366505,576460752477335511,576460752408213262,576460752366499807,576460752440574467,576460752462914817,576460752366192765,576460752355010298,576460752326009001,576460752369828286,576460752429746426,576460752322676958,576460752440556547,576460752330136934,576460752352151374,576460752360973362,576460752383280495,576460752370506262,576460752343548834,576460752345294326,576460752372553469,576460752409832546,576460752489472246,576460752367905247,576460752428974074,576460752369953643,576460752438049596,576460752353458177,576460752416741431,576460752409271951,576460752321568938,576460752350766516,576460752361453618,576460752485055310,576460752451273268,576460752351384398,576460752450828340,576460752584869302,576460752471179275,576460752431053617,576460752392353289,576460752480368410,576460752328059708,576460752491631459,576460752345127976,576460752329498358,576460752460445069,576460752405778423,576460752332370835,576460752484251050,576460752451627380,576460752453858252,576460752319154955,576460752343940961,576460752356544626,576460752327787411,576460752443056914,576460752440755715,576460752414632060,576460752401157932,576460752431281713,576460752428967856,576460752315641406,576460752361719552,576460752357714100,576460752428974512,576460752451495525,576460752402511760,576460752321944256,576460752352913230,576460752491630691,576460752487364129,576460752439953609,576460752423348463,576460752452425763,576460752358630136,576460752485656602,576460752483893838,576460752437297443,576460752435777315,576460752327786131,576460752354001462,576460752407766210,576460752428975024,576460752452392833,576460752438886578,576460752423568464,576460752367795135,576460752422999023,576460752339392768,576460752493177469,576460752479295917,576460752477022786,576460752566619520,576460752448792698,576460752423555055,576460752440484611,576460752443011101,576460752458438113,576460752325318942,576460752484233161,576460752455736840,576460752487404745,576460752394675962,576460752530765993,576460752466447863,576460752439041033,576460752424831647,576460752501545325,576460752384173533,576460752318213065,576460752504635787,576460752469956027,576460752383039404,576460752407542263,576460752394319696,576460752420901402,576460752367211339,576460752352563271,576460752356635606,576460752379394999,576460752462599071,576460752348854380,576460752420152877,576460752457373720,576460752548839087,576460752353673716,576460752463469121,576460752306818282,576460752468170517,576460752436673571,576460752306354161,576460752418557531,576460752352730018,576460752453034625,576460752566435968,576460752475362385,576460752416955117,576460752477577428,576460752323520929,576460752442639041,576460752401437243,576460752332005779,576460752328901328,576460752309921879,576460752389796824,576460752400305220,576460752414297657,576460752442539641,576460752309830195,576460752429403861,576460752457685217,576460752438951278,576460752391975212,576460752440740099,576460752381246032,576460752492619967,576460752492748223,576460752478994378,576460752459695966,576460752472891322,576460752429066160,576460752520619246,576460752474985498,576460752350861730,576460752322671070,576460752392265646,576460752440575235,576460752518035375,576460752381552884,576460752416706285,576460752504638347,576460752418392191,576460752425016991,576460752432936852,576460752429870330,576460752314557249,576460752438855790,576460752358496936,576460752414408572,576460752351254178,576460752350014766,576460752324153694,576460752438979849,576460752491566127,576460752386348101,576460752376994453,576460752454694408,576460752416332726,576460752314880196,576460752320550891,576460752486660553,576460752483595558,576460752411396319,576460752401581124,576460752461295464,576460752415966338,576460752400583674,576460752477523868,576460752319001684,576460752437794878,576460752469352169,576460752355153499,576460752485910473,576460752566451072,576460752357960215,576460752358024447,576460752452742192,576460752378658743,576460752573691962,576460752476959849,576460752429499107,576460752421048346,576460752314681150,576460752421979589,576460752487024022,576460752463908161,576460752451599941,576460752438887602,576460752398184074,576460752360090336,576460752431110676,576460752429357013,576460752354664669,576460752330932838,576460752405270007,576460752311602758,576460752451153716,576460752325991015,576460752483504118,576460752400979658,576460752475857871,576460752489352071,576460752463962389,576460752419357210,576460752355163739,576460752335768156,576460752357859678,576460752484252074,576460752439126025,576460752305068332,576460752316043582,576460752437102627,576460752461895189,576460752423135432,576460752450230736,576460752398359798,576460752414442876,576460752572979514,576460752322639552,576460752420008575,576460752439015278,576460752310550086,576460752380823345,576460752458470564,576460752407584868,576460752359687160,576460752340175533,576460752337298635,576460752439015090,576460752428042951,576460752381449327,576460752484964204,576460752387256114,576460752376961652,576460752320555039,576460752367022527,576460752474835537,576460752350660981,576460752382446447,576460752438766529,576460752458396068,576460752303835027,576460752395147472,576460752405635886,576460752542388883,576460752423505647,576460752426336376,576460752388211882,576460752537199917,576460752382881983,576460752309837107,576460752428956080,576460752420373119,576460752537201197,576460752413682556,576460752378641591,576460752479293642,576460752451497317,576460752407665004,576460752405276663,576460752508450128,576460752409371023,576460752464743557,576460752341406978,576460752403481993,576460752408019454,576460752424221298,576460752438035772,576460752482710424,576460752465824789,576460752462253589,576460752427932359,576460752391219198,576460752355231482,576460752360383656,576460752360902413,576460752342917117,576460752532242130,576460752415890358,576460752385942834,576460752310700773,576460752360722537,576460752316445937,576460752416591927,576460752429871866,576460752321120283,576460752325892777,576460752380678193,576460752463763221,576460752494516107,576460752343836396,576460752436619692,576460752370253675,576460752399889398,576460752527566062,576460752439601551,576460752310856421,576460752356498802,576460752486625686,576460752341824292,576460752331003339,576460752462191208,576460752348595382,576460752511585543,576460752441268159,576460752386584769,576460752323459846,576460752476199203,576460752438995054,576460752344121953,576460752308997463,576460752384885260,576460752353206889,576460752484340394,576460752361807792,576460752444003552,576460752504522635,576460752416155318,576460752438072892,576460752332195731,576460752466448375,576460752312873313,576460752344888929,576460752511761769,576460752347036431,576460752386252922,576460752505039755,576460752309775974,576460752419237503,576460752584516022,576460752463208981,576460752309414451,576460752499737267,576460752452926849,576460752492469439,576460752392763570,576460752427957703,576460752390593790,576460752381793093,576460752451293095,576460752336510081,576460752367661643,576460752460427149,576460752310483526,576460752477511892,576460752459411597,576460752438065468,576460752478892234,576460752516797326,576460752380201040,576460752463390443,576460752478936522,576460752482533784,576460752416928237,576460752475823139,576460752466448119,576460752400649028,576460752393573554,576460752357832215,576460752323184193,576460752431669623,576460752380928244,576460752523474582,576460752317867237,576460752382740518,576460752361159986,576460752369502827,576460752393306960,576460752380172594,576460752393869899,576460752508534247,576460752416774838,576460752325393397,576460752319792212,576460752373235737,576460752419614359,576460752325020446,576460752437911843,576460752352363342,576460752478910410,576460752447813168,576460752509040788,576460752508928487,576460752375971775,576460752342054692,576460752452305605,576460752475002680,576460752452888193,576460752451126068,576460752438959214,576460752332261391,576460752358493352,576460752498082995,576460752446049544,576460752495679269,576460752439039241,576460752438674467,576460752527832558,576460752420748927,576460752336983526,576460752410905460,576460752458764959,576460752566736512,576460752443361760,576460752423374575,576460752504217227,576460752380221342,576460752329409074,576460752458198925,576460752344240826,576460752474319866,576460752483487270,576460752360930061,576460752487385855,576460752451066420,576460752370216126,576460752441425855,576460752409990367,576460752484420716,576460752316467446,576460752436111265,576460752397037164",,Sarah/Griffin,07/10/2025,TRUE,FALSE,FALSE,"GSB: Mesh errors so I can't be sure, but i added a bunch more on",574,,116039433538533978,576460752466448375,2025-12-19
Delta7,Delta7_L5R4_FS,0,21/03/2025,"16352, 28021, 1350","576460752440909315,576460752479347402,576460752459956708",,Griffin,13/08/2025,FALSE,FALSE,TRUE,"annoying int error again;  SH: in the sideview you can extend the medial part a little more (just a few more dendrites) // GSB: good call, I added those parts",2,,105905234865311366,576460752424012985,2025-12-19
Delta7,Delta7_L6R3_FS,0,21/03/2025,"17379, 27461, 1752",576460752452572044,,Griffin,13/08/2025,FALSE,FALSE,TRUE,not the prettiest but complete as far as ic an tell,0,,108140542004594081,576460752481920510,2025-12-19
Delta7,Delta7_L6R3_FS,0,21/03/2025,"22621, 28853, 1633",576460752484849223,,Griffin,14/08/2025,FALSE,FALSE,TRUE,,0,,119452042753219325,576460752477555156,2025-12-19
Delta7,Delta7_L6R3_FS,0,21/03/2025,"22917, 28021, 1797",576460752474592506,,Griffin,14/08/2025,FALSE,FALSE,TRUE,one section of the main fiber is gross,0,,120543033165945294,576460752489472502,2025-12-19
Delta7,Delta7_L6R3_FS,0,21/03/2025,"23087, 28179, 1861",576460752422610150,,Griffin,15/08/2025,FALSE,FALSE,TRUE,should be complete,0,,120560900229880680,576460752422610150,2025-12-19
Delta7,Delta7_L6R3_FS,0,21/03/2025,"22748, 28664, 1630","576460752518115589,576460752442781879",,Griffin,06/10/2025,FALSE,FALSE,TRUE,should be complete,1,,120577942660058941,576460752442781879,2025-12-19
