Cell supertype,Catmaid name,% reviewed,Export date,Backbone coordinate,Latest segment IDs,Cell type proposal,Proofreader,Latest update,Ongoing,To split,Completed,Comments,Num. of segs,Supervoxel ID,Root ID,Root ID updated,CATMAID skid
EPG,EPG_LY_L4_MS,2,20/03/2025,"15289, 27108, 1319",576460752436290901,,Vanessa / Marcel,10/12/2025,FALSE,FALSE,TRUE,https://neuromancer-seung-import.appspot.com/?json_url=https://global-2025.connectomics.braininbrain.org/nglstate/api/v1/5645276802973696,0,,576460752436290901,2025-12-19,103651
EPG,EPG_LY_L5_MS,0,20/03/2025,,"576460752405761312,576460752490947627,576460752439033010,576460752389165931",,,21/03/2025,TRUE,FALSE,FALSE,,3,,,,
EPG,EPG_LY_L5_SH_AT,0,20/03/2025,"13050, 26440, 1527","576460752305889531, 576460752349983960, 576460752366157405, 576460752366484115, 576460752383124315, 576460752384387675, 576460752390418126, 576460752402708569, 576460752405408302, 576460752416847415, 576460752419299735, 576460752429454134, 576460752433282657, 576460752457560226, 576460752459088290, 576460752476079907, 576460752483298086, 576460752484632794, 576460752488647713, 576460752489802342, 576460752492710335, 576460752508368359, 576460752526989470, 576460752538620656, 576460752549182127",,Vanessa,11/12/2025,TRUE,FALSE,FALSE,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5747599368781824,24,97971708715080374,576460752405408302,2025-12-19,
EPG,EPG_LY_L5_todo_AT_SH,0,20/03/2025,,"576460752508394727,576460752508413415,576460752439042738,576460752451511234,576460752414359520",,,21/03/2025,TRUE,FALSE,FALSE,,4,,,,
EPG,EPG_LY_L5_todo_AT_SH,0,20/03/2025,,"576460752460107870,576460752350976756,576460752508696295,576460752436456097,576460752508253927,576460752436454561,576460752508704743,576460752439054258,576460752407497947",,,21/03/2025,TRUE,FALSE,FALSE,,8,,,,
EPG,EPG_LY_L5_todo_AT_SH,0,20/03/2025,,"576460752422611385,576460752474698296,576460752474469432,576460752370546525,576460752368838493,576460752430431052",,,21/03/2025,TRUE,FALSE,FALSE,,5,,,,
EPG,EPG_LZ_L2_MS,0,20/03/2025,,"576460752573273607,576460752433739873",,Stanley,21/03/2025,TRUE,FALSE,FALSE,needs CATMAID extension,1,,,,
EPG,EPG_LZ_L2_SH,0,20/03/2025,,"576460752462110304,576460752386685379,576460752386200259,576460752482601712,576460752462441729,576460752433559905,576460752386014659",,,21/03/2025,TRUE,FALSE,FALSE,,6,,,,
EPG,EPG_LZ_L2_SH,0,20/03/2025,,576460752532071081,,,21/03/2025,TRUE,FALSE,FALSE,Catmaid..,0,,,,
EPG,EPG_LZ_L3_AT_MS,12,20/03/2025,,"576460752423190129,576460752488273579,576460752423040113,576460752429105933,576460752430919314,576460752450374352,576460752520738894,576460752370309963,576460752417346615,576460752438942729,576460752455521201,576460752475043008,576460752423088840,576460752377629126,576460752447416229,576460752475649231,576460752393205957,576460752429512594,576460752417671611,576460752319360704,576460752394314423,576460752489455335,576460752488268459,576460752472033547,576460752417432631",,,21/03/2025,TRUE,FALSE,FALSE,,24,,,,
EPG,EPG_LZ_L3_MS,14,20/03/2025,,"576460752472701048,576460752436145569,576460752593754806,576460752416125824,576460752566651264,576460752391770222,576460752447175845,576460752474370180,576460752369302267,576460752438942729,576460752399329832,576460752472642168,576460752415193438,576460752402554844,576460752472701816,576460752566678912,576460752463361601,576460752423106799,576460752402232443,576460752429703899,576460752492126040,576460752434454161",,,21/03/2025,TRUE,FALSE,FALSE,,21,,,,
EPG,EPG_LZ_L3_MS,16,20/03/2025,,"576460752404392846,576460752444941843,576460752450581034,576460752439209319,576460752477620695,576460752409859464,576460752412237428,576460752422817977,576460752415662986,576460752411218292,576460752371267761,576460752404882830,576460752414004324,576460752406509655,576460752508199655,576460752499274101,576460752426853279,576460752423088840,576460752410004872,576460752566641280,576460752435636048,576460752408247432,576460752415569024,576460752391083419,576460752438942729,576460752458689828,576460752472661112,576460752441782903,576460752402908046,576460752416377002,576460752485608181,576460752451459685,576460752468966633,576460752413671268,576460752484625163,576460752520738894,576460752409003400,576460752411576081",,,21/03/2025,TRUE,FALSE,FALSE,,37,,,,
EPG,EPG_LZ_L3_MS_to-do,14,20/03/2025,,"576460752471718667,576460752423097800,576460752406316589,576460752438937353,576460752450374096,576460752423317617",,,21/03/2025,TRUE,FALSE,FALSE,,5,,,,
