Cell supertype,Catmaid name,% reviewed,Export date,Starting coordinate,Latest segment IDs,Cell type proposal,Proofreader,Latest update,Ongoing,To split,Completed,Comments,CATMAID skid,,# segs
PEN,PEN_b_L4_35224,0,13/09/2023,"24073,13968,3070",504403158469143111,PEN-L4,Stanley,10/11/2024,TRUE,FALSE,FALSE,,35224,unsure,0
PEN,PEN_b_L4_99084,0,13/09/2023,"23717,14488,3082","504403158503906516,504403158480564773,504403158588184852,504403158440881944,504403158508014035,504403158381809750,504403158456435733,504403158469849152,504403158483224555,504403158504350113,504403158515992163,504403158535364477,504403158480712485,504403158550892165,504403158366357807,504403158525184306,504403158567834650,504403158483508459,504403158487034181,504403158514054696,504403158469015367,504403158550827095,504403158501555930,504403158501958710,504403158473889580",PEN-L4,Stanley,29/11/2023,TRUE,FALSE,FALSE,,99084,,24
PEN,PEN_a_L4_35368,0,13/09/2023,"24166,13398,3066",504403158585589141,PEN-L4,Stanley,01/12/2023,TRUE,FALSE,FALSE,,35368,,0
PEN,PEN_a_L5_34931,0,13/09/2023,"26279,12849,3069","504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158423218387,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158442766042,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,504403158445000283,",PEN-L5,Stanley,,FALSE,FALSE,FALSE,,34931,,50
PEN,PEN_b_L5_35102,0,13/09/2023,"26145,12285,3075","504403158417709656,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158426338944,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158365582946,504403158365582946,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158498610917,504403158498610917,504403158498610917,504403158498610917,504403158498610917,504403158498610917,504403158498610917,504403158498610917,504403158498610917,504403158362006723,504403158361840323,504403158360656323,504403158360656323,504403158360656323,504403158360656323,504403158498610917,504403158498610917,504403158498610917,504403158365493699,504403158365493699,504403158365493699,504403158365493699,504403158365493699,504403158365493699,504403158365493699,504403158365493699,504403158459254709,504403158459254709,504403158351137173,504403158459254709,504403158459254709,504403158459254709,504403158459254709,504403158459254709,504403158459254709,504403158349469845,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158355596257,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158352129530,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158512381893,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158346757393,504403158346757393,504403158346757393,504403158346757393,504403158346757393,504403158346757393,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158472871047,504403158410497694,504403158472871047,504403158472871047,504403158481163895,504403158435479541,504403158435479541,504403158435479541,504403158435479541,504403158435479541,504403158435479541,504403158435479541,504403158435479541,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158348965560,504403158348423096,504403158348423096,504403158348423096,504403158348606648,504403158348423096,504403158347932856,504403158347932856,504403158347932856,504403158347932856,504403158347932856,504403158347932856,504403158347932856,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158464554853,504403158464554853,504403158464554853,504403158464554853,504403158464554853,504403158464554853,504403158464554853,504403158464554853,504403158438631562,504403158438631562,504403158437886090,504403158437886090,504403158437886090,504403158437886090,504403158437886090,504403158437886090,504403158437886090,504403158437886090,504403158437886090,504403158437886090,504403158437886090,504403158438929290,504403158438929290,504403158438929290,504403158439267210,504403158439267210,504403158439267210,504403158468799911,504403158468799911,504403158468799911,504403158440815384,504403158440815384,504403158440815384,504403158440815384,504403158440815384,504403158440815384,504403158440815384,504403158440815384,504403158440815384,504403158440815384,504403158294257574,504403158294257574,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158275405371,504403158275398459,504403158275512379,504403158275736891,504403158275605819,504403158275605819,504403158275605819,504403158275714875,504403158275714875,504403158275714875,504403158275714875,504403158275714875,504403158275714875,504403158275714875,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158286429887,504403158277651087,504403158277651087,504403158277651087,504403158277651087,504403158277651087,504403158277651087,504403158277651087,504403158277651087,504403158277651087,504403158277651087,504403158300307301,504403158300307301,504403158300307301,504403158300307301,504403158300307301,504403158300307301,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158303220837,504403158303220837,504403158462285045,504403158462285045,504403158462285045,504403158303220837,504403158288704080,504403158288704080,504403158288704080,504403158288704080,504403158288590928,504403158288590928,504403158288590928,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158462285045,504403158302439543,504403158299792485,504403158299622757,504403158403321640,504403158300401015,504403158286429887,504403158286429887,504403158431556560,504403158431556560,504403158432414160,504403158432519632,504403158432628688,504403158432628688,504403158432628688,504403158432628688,504403158432628688,504403158286429887,504403158286429887,504403158272628539,504403158272291387,504403158272291387,504403158286429887,504403158286429887,504403158286429887,504403158494265138,504403158494044466,504403158493301042,504403158493301042,504403158493301042,504403158493301042,504403158493301042,504403158440815384,504403158440815384,504403158341165904,504403158341165904,504403158340838224,504403158340675664,504403158340520016,504403158339754064,504403158339754064,504403158339754064,504403158339476816,504403158439406986,504403158439313290,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158468799911,504403158464757349,504403158438209575,504403158438209575,504403158438091559,504403158396920193,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158434535888,504403158464757349,504403158430519248,504403158433366224,504403158432375248,504403158464757349,504403158430519248,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158438318119,504403158438459175,504403158438459175,504403158437527591,504403158437527591,504403158437527591,504403158437527591,504403158437527591,504403158437527591,504403158437527591,504403158464757349,504403158464757349,504403158464757349,504403158439502631,504403158439502631,504403158439191335,504403158439191335,504403158439191335,504403158439191335,504403158439191335,504403158439191335,504403158439191335,504403158439191335,504403158431032016,504403158430519248,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158430581968,504403158429220048,504403158429220048,504403158429220048,504403158429220048,504403158429220048,504403158429220048,504403158429220048,504403158429220048,504403158429220048,504403158429220048,504403158284385083,504403158284385083,504403158284385083,504403158284385083,504403158284385083,504403158284385083,504403158429220048,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158396920193,504403158396920193,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158464757349,504403158433429120,504403158433429120,504403158433429120,504403158395701633,504403158395806849,504403158395806849,504403158395806849,504403158396920193,504403158464757349,504403158398280833,504403158398518401,504403158398738817,504403158398935169,504403158398837889,504403158399107713,504403158399030401,504403158399107713,504403158399107713,504403158399107713,504403158399107713,504403158399107713,",PEN-L5,Stanley,,FALSE,FALSE,FALSE,,35102,,700
PEN,PEN_b_L6_34205,0,13/09/2023,"27693,13082,3082","504403158571982165,504403158571982165,504403158571982165,504403158480952031,504403158500187328,504403158500187328,504403158500187328,504403158500187328,504403158500187328,504403158500187328,504403158500187328,504403158403201711,504403158444393299,504403158319786314,504403158319786314,504403158319786314,504403158319786314,504403158301837255,504403158301837255,504403158301837255,504403158301837255,504403158301837255,504403158315355692,504403158315355692,504403158315355692,504403158315355692,504403158315355692,504403158315355692,504403158276228812,504403158276228812,504403158276228812,504403158276228812,504403158293250126,504403158385857279,504403158385857279,504403158385857279,504403158421800170,504403158421800170,504403158421800170,504403158421800170,504403158338266767,504403158338266767,504403158342380687,504403158338266767,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158571982165,504403158570448206,504403158571982165,504403158365391603,504403158571982165,504403158571982165,504403158365391603,504403158571982165,504403158571982165,504403158571982165,504403158366013651,504403158424343065,504403158424343065,504403158424343065,504403158424343065,504403158424343065,504403158424343065,504403158424343065,504403158424343065,504403158424343065,504403158424343065,504403158385857279,",PEN-L6,Stanley,,FALSE,FALSE,FALSE,,34205,unsure ,83
PEN,PEN_a_L6_34212,0,13/09/2023,"27685,13413,3077","504403158526785180,504403158526785180,504403158526785180,504403158526785180,504403158439731326,504403158439731326,504403158439731326,504403158439731326,504403158469464128,504403158469464128,504403158469464128,504403158469464128,504403158469464128,504403158469464128,504403158469464128,504403158469464128,504403158469464128,504403158319736138,504403158319736138,504403158319736138,504403158319736138,504403158301830087,504403158301830087,504403158301830087,504403158301830087,504403158419411047,504403158358591261,504403158358591261,504403158358591261,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158338266767,504403158338266767,504403158338266767,504403158338266767,504403158501926454,504403158354362294,504403158354362294,504403158354362294,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158501926454,504403158473254279,504403158473254279,504403158473254279,504403158391073050,504403158473254279,504403158473254279,504403158473254279,504403158473254279,504403158473254279,504403158473254279,504403158473254279,504403158336716399,504403158336716399,504403158336716399,504403158473254279,504403158473254279,504403158473254279,504403158356273273,504403158354828656,504403158410563678,504403158410563678,504403158354381680,",PEN-L6,Stanley,09/01/2023,TRUE,FALSE,FALSE,,34212,unsure,79
PEN,PEN_L7_118524,0,13/09/2023,"26428,13105,3072","504403158348445572,504403158348445572,504403158348445572,504403158348445572,504403158346761636,504403158346761636,504403158346761636,504403158346761636,504403158385225947,504403158385225947,504403158385225947,504403158385225947,504403158487093075,504403158487093075,504403158487093075,504403158487093075,504403158432028508,504403158432028508,504403158432028508,504403158432028508,504403158432028508,504403158533626269,504403158533626269,504403158533626269,504403158533626269,504403158533626269,504403158533626269,504403158533626269,504403158533626269,504403158533626269,504403158533626269,504403158533626269,504403158533626269,",PEN-L7,,,FALSE,FALSE,FALSE,,118524,,33
PEN,PEN_L7_118463,0,13/09/2023,"26659,13355,3079","504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,504403158465273976,",PEN-L7,,,FALSE,FALSE,FALSE,,118463,,23
PEN,PEN_L8_63157,0,13/09/2023,"26952,12318,3516","504403158349392379,504403158473103614,504403158473103614,504403158473103614,504403158395605959,504403158473103614,504403158473103614,504403158395605959,504403158473103614,504403158395605959,504403158395605959,504403158473103614,504403158395605959,504403158473103614,504403158395605959,504403158292351216,504403158473103614,504403158473103614,504403158473103614,504403158472947905,504403158472947905,504403158474591937,504403158474915009,504403158475208641,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158475208641,504403158473103614,504403158475963073,504403158473103614,504403158473103614,504403158473103614,504403158408184928,504403158473103614,504403158408184928,504403158473103614,504403158473103614,504403158408184928,504403158473103614,504403158473103614,504403158454255137,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158490744583,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158518365778,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158509382843,504403158473103614,504403158308204822,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158325027773,504403158473103614,504403158473103614,504403158473103614,504403158292347632,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158321088107,504403158473103614,504403158292351216,504403158473103614,504403158292351216,504403158292351216,504403158473103614,504403158292351216,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158310252310,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158372250798,504403158372250798,504403158372250798,504403158372250798,504403158372250798,504403158372250798,504403158372240558,504403158372240558,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158318291005,504403158318291005,504403158318291005,504403158473103614,504403158318291005,504403158318291005,504403158372206510,504403158372475310,504403158372475310,504403158372475310,504403158372475310,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158292351216,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158317035581,504403158473103614,504403158317035581,504403158317035581,504403158317035581,504403158310571320,504403158310571320,504403158310571320,504403158322072939,504403158310571320,504403158310571320,504403158310571320,504403158310571320,504403158322072939,504403158310571320,504403158310571320,504403158310571320,504403158310571320,504403158310571320,504403158310571320,504403158404341342,504403158404341342,504403158473103614,504403158404341342,504403158320328555,504403158320328555,504403158404341342,504403158404341342,504403158320328555,504403158404341342,504403158404341342,504403158404341342,504403158404341342,504403158473103614,504403158317035581,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158314847037,504403158471588033,504403158376309321,504403158376309321,504403158471588033,504403158471588033,504403158376309321,504403158376309321,504403158376309321,504403158376309321,504403158376309321,504403158376309321,504403158310571320,504403158310571320,504403158311056440,504403158351571757,504403158351571757,504403158352386861,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158323260779,504403158323260779,504403158323396971,504403158322509931,504403158322509931,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158320328555,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158401294120,504403158400276264,504403158400747816,504403158400314920,504403158400015912,504403158473103614,504403158473103614,504403158473103614,504403158333002121,504403158400913192,504403158400913192,504403158400913192,504403158400913192,504403158374850121,504403158374850121,504403158374850121,504403158374850121,504403158374850121,504403158376186953,504403158376186953,504403158376745289,504403158376745289,504403158376745289,504403158472124865,504403158472459713,504403158377801066,504403158377801066,504403158377801066,504403158322212881,504403158322212881,504403158322212881,504403158321289745,504403158321289745,504403158333002121,504403158400275496,504403158400275496,504403158400275496,504403158400275496,504403158400275496,504403158400275496,504403158400275496,504403158400275496,504403158400275496,504403158400275496,504403158400275496,504403158400275496,504403158375187017,504403158400275496,504403158400275496,504403158376917577,504403158400114989,504403158400114989,504403158400114989,504403158400114989,504403158472947905,504403158473103614,504403158473103614,504403158473103614,504403158486017454,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,504403158473103614,",PEN-L8,Stanley,08/01/2023,TRUE,FALSE,FALSE,,63157,,345
PEN,PEN_L8_105737,0,13/09/2023,"29479,16156,3620",504403158458650105,PEN-L8,"Stanley, Atticus",29/11/2023,TRUE,FALSE,FALSE,,105737,,0
PEN,PEN_L9_63187,0,13/09/2023,"27956,13044,3394","504403158393682427,504403158393682427,504403158393682427,504403158393682427,504403158393682427,504403158423771419,504403158459931809,504403158459931809,504403158459931809,504403158459931809,504403158459931809,504403158459931809,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158335413707,504403158335413707,504403158335413707,504403158550422172,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158487104837,504403158474146832,",PEN-L9,Stanley,08/01/2023,TRUE,FALSE,FALSE,,63187,,43
PEN,PEN_L9_118898,0,13/09/2023,"27157,11973,3407","504403158441876256,504403158434095093,504403158441876256,504403158441876256,504403158434095093,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158419626321,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158359765834,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158331882633,504403158441876256,504403158441876256,504403158363855434,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158363855434,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158363855434,504403158441876256,504403158295121043,504403158295121043,504403158297257069,504403158434095093,504403158441876256,504403158441876256,504403158441876256,504403158363855434,504403158319785489,504403158318215185,504403158332913801,504403158332913801,504403158332913801,504403158332913801,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158363855434,504403158441876256,504403158297039213,504403158363855434,504403158334064521,504403158332939401,504403158332939401,504403158297039213,504403158441876256,504403158297039213,504403158441876256,504403158332939401,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158332913801,504403158461159692,504403158441876256,504403158332913801,504403158332913801,504403158441876256,504403158441876256,504403158332913801,504403158441876256,504403158441876256,504403158319725163,504403158441876256,504403158461269260,504403158441876256,504403158319725163,504403158319785489,504403158441876256,504403158332913801,504403158319785489,504403158332913801,504403158441876256,504403158332913801,504403158441876256,504403158441876256,504403158319725163,504403158319725163,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158456166966,504403158456166966,504403158456166966,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158307371331,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158336155895,504403158336155895,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,504403158441876256,",PEN-L9,Stanley,08/01/2023,TRUE,FALSE,FALSE,,118898,,160
PEN,PEN_L9_118885,0,13/09/2023,"28465,12797,3436","504403158393682427,504403158393682427,504403158467452065,504403158459931809,504403158307371331,504403158307371331,504403158307371331,504403158335970529,504403158335970529,504403158305643843,504403158326316659,504403158348917662,504403158348917662,504403158456046389,504403158524176297,504403158456046389,504403158456046389,504403158456046389,504403158456046389,504403158456046389,504403158456046389,504403158456046389,504403158456046389,504403158455475465,504403158455475465,",PEN-L9,Stanley,08/01/2023,TRUE,FALSE,FALSE,,118885,,25
