catmaid_name,skid,name,fly_name,color,type,type_color,type_col,type_col_color,type_col_v2,type_col_color_v2,fly_instance,instance_col,ignore,,type_density,type_color_density
EPG_LZ_L2_2_SH_HH_MS,55944,EPG_L2_55944,EPG_L2_697001770,#E066FF,EPGt,#6a74cc,EPG_L2,#00BAB5,Delta7_L1L9,#90B24F,EPG(PB08)_L1,#00CD66,PEN_a_L2_112687,,EPGt,#6a74cc
EPG_LZ_L2_3_SH_MS_HH,55952,EPG_L2_55952,EPG_L2_912545106,#00868B,EPG,#34B887,EPG_L2,#00BAB5,Delta7_L2R7,#90B24F,PEG(PB07)_L1,#00868B,PEN_b_L2_112713,,EPG,#05A0D2
EPG_LZ_L3_ID_1,57529,EPG_L3_57529,na,#CD4F39,PEG,#EF506C,EPG_L3,#00BAB5,Delta7_L3R6,#90B24F,EPGt(PB09)_R9,#6a74cc,PEN_a_L3_63772,,PEG,#ED5A3D
EPG_LZ_L3_ID_2,57518,EPG_L3_57518,na,#A2CD5A,LNO,#CD4F39,EPG_L3,#00BAB5,Delta7_L4R5,#90B24F,EPGt(PB09)_L9,#A2CD5A,PEN_b_L3_63776,,LNO,#CD4F39
EPG_LZ_L3_ID_SH,54939,EPG_L3_54939,na,#FFB90F,PEN,#F09E00,EPG_L3,#00BAB5,Delta7_L4R6,#90B24F,EPG(PB08)_R1,#FFB90F,PEN_L4_35091,,PEN,#F09E00
EPG_LY_L4_SH,34955,EPG_L4_34955,na,#00CD66,PEN_b,#7DCAFF,EPG_L4,#00BAB5,Delta7_L5R4,#90B24F,PEG(PB07)_R1,#00CD66,PEN_L4_35224,,PEN_b,#56B4E9
EPG_LY_L4_SH,35304,EPG_L4_35304,na,#63B8FF,PEN_a,#FFD700,EPG_L4,#00BAB5,Delta7_L6R3,#90B24F,,,PEN_L4_99084,,PEN_a,#E69F00
EPG_LY_L4_SH_AZ,34187,EPG_L4_34187,na,#1E90FF,PEN_a(PEN_a),#F09E00,EPG_L4,#00BAB5,Delta7_L6R4,#90B24F,,,PEN_L4_35368,,PEN_a(PEN_a),#05A0D2
PEG_L2_55930,55930,PEG_L2_55930,PEG_L2_1190171884,#FFD700,PEN_b(PEN_b),#6EBADD,PEG_L2,#FFAEB9,Delta7_L7R2,#90B24F,,,PEN_L5_34931,,PEN_b(PEN_b),#ED5A3D
PEG_L3_99063,99063,PEG_L3_99063,na,#0000FF,ExR,#EF506C,PEG_L3,#FFAEB9,Delta7_L7R3,#90B24F,,,PEN_L5_35102,,ExR,#EF506C
PEG_L4_35097,35097,PEG_L4_35097,PEG_R9_1125969082,#E066FF,LAL,#FF9D94,PEG_L4,#FFAEB9,Delta7_L8R1,#90B24F,,,PEN_L6_34205,,LAL,#E82B5E
EPG_RW_R8_ID_HH,56351,PEG_R8_56351,PEG_R8_5813059834,#FFD700,LBU,#62FDFF,EPG_R8,#188EEF,EPG_L1,#00BAB5,,,PEN_L6_34212,,LBU,#B687F2
EPG_RW_R8_ID_HH,56356,EPG_R8_56356,EPG_R8_1125964814,#7DCAFF,MBUd,#B46CFF,EPG_R8,#188EEF,EPG_L2,#00BAB5,,,PEN_L7_118524,,MBUd,#31D6DE
EPG_RW_R8_ID_MS_HH,56383,EPG_R8_56383,EPG_R8_1126647624,#188EEF,MBUv,#FFA500,EPG_R8,#188EEF,EPG_L3,#00BAB5,,,PEN_L7_118463,,MBUv,#FFB607
EPG_RW_R8_todo_SH_HH,55936,EPG_R8_55936,EPG_R8_5813040233,#00BAB5,Delta7,#5483CA,PEG_R8,#d5b0ff,EPG_L4,#00BAB5,,,PEN_L8_63157,,Delta7,#47B03F
EPG_RW_R9_ID_SH,64276,EPG_R8_64276,EPG_R8_5813061251,#029393,LNO,#CD4F39,EPG_R9,#188EEF,EPG_L5,#00BAB5,,,PEN_L8_105737,,LNO,#CD4F39
EPG_RW_R9_MS,118328,EPG_R9_118328,EPG_R9_1168659995,#007070,LNOm_a,#B181FF,EPG_R9,#188EEF,EPG_L6,#00BAB5,,,PEN_L9_63187,,LNOm_a,#B181FF
EPG_RW_R9_MS_EPGt?,118347,EPG_R9_118347,EPG_R9_1219069439,#188EEF,LNOm_b,#5E7FEE,EPGt_R9,#6a74cc,EPG_L7,#00BAB5,,,PEN_L9_118898,,LNOm_b,#5E7FEE
EPG_RX_R7_ID,55134,EPG_R7_55134,na,#F98980,LNOm_c,#BCBCBC,EPG_R7,#188EEF,EPG_L8,#00BAB5,,,PEN_L9_118885,,LNOm_c,#BCBCBC
EPG_RX_R7_ID,56318,EPG_R7_56318,na,#F9685D,LNOm_d,#BCBCBC,EPG_R7,#188EEF,EPG_L9,#00BAB5,,,,,LNOm_d,#BCBCBC
EPG_RX_R7_ID,56230,EPG_R7_56230,na,#CD4F39,LNOm_e,#BCBCBC,EPG_R7,#188EEF,EPG_R1,#188EEF,,,,,LNOm_e,#BCBCBC
EPG_RX_R7_todo_ID_SH,54932,EPG_R7_54932,na,#A2CD5A,LNOm_f,#BCBCBC,EPG_R7,#188EEF,EPG_R2,#188EEF,,,,,LNOm_f,#BCBCBC
EPG_RZ_R1/L1_ID_MS_MT1,64077,EPG_L1_64077,EPG_L1_1447576662,#E066FF,LNOs_a,#F9685D,EPG_L1,#00BAB5,EPG_R3,#188EEF,,,,,LNOs_a,#F9685D
EPG_RZ_R1/L1_ID_MT3,64084,EPG_L1_64084,EPG_L1_572870540,#99392C,LNOs_b,#CD4F39,EPG_L_R1L1,#00BAB5,EPG_R4,#188EEF,,,,,LNOs_b,#CD4F39
EPG_RZ_R1/L1_ID_SH_MT2,63988,PEG_L1_63988,PEG_L1_1128088594,#90B24F,LNOs_c,#FFB6C0,EPG_L1,#00BAB5,EPG_R5,#188EEF,,,,,LNOs_c,#FFB6C0
PFx_RW_R9_SH_maybe_EPG_Gall_neurite,163378,PEN_L4_35368,na,#FFB90F,ER_BUs,#31D6DE,PEG_L_R1L1,#FFAEB9,EPG_R6,#188EEF,,,,,,
PEN_LY_L4_SH,35368,PEN_L4_99084,na,#17E579,ER_BUi,#B687F2,PEN_L4,#ef8f9f,EPG_R7,#188EEF,,,,,,
PEN_LY_L4_SH_SB_cina,99084,PEN_L4_35091,na,#00CD66,ER_BUa,#FFA500,PEN_L4,#ef8f9f,EPG_R8,#188EEF,,,,,,
PEN_LY_L4_SH_todo,35091,PEN_L4_35224,na,#7DCAFF,ER1_3a_LAL,#FF9D94,PEN_L4,#ef8f9f,EPG_R9,#188EEF,,,,,,
PEN_LY_L4_SH_todo_1,35224,PEN_b_L2_112687,PEN_b_L2_5813047157,#188EEF,,,PEN_L4,#ef8f9f,EPGt_R9,#6a74cc,,,,,,
PEN_b_L2_112713,112713,PEN_a_L2_112713,PEN_a_L2_634608104,#f96841,,,PEN_b_L2,#FFB90F,PEG_L1,#FFAEB9,,,,,,
